application/pdf;8835746
message/rfc822;3443845
text/html;2990954
text/plain;1496825
image/jpeg;1292700
image/png;938072
text/csv;581702
application/xml+opfmessage;552849
application/octet-stream;453592
text/xml;439849
inode/directory;405202
application/msword;380408
;270829
image/gif;248397
application/x-java-applet;240467
application/vnd.openxmlformats-officedocument.wordprocessingml.document;206014
image/tiff;145498
inode/x-empty;104586
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;104208
application/vnd.ms-excel;96965
image/vnd.djvu;86373
application/zip;72048
image/webp;60878
text/rtf;36756
application/vnd.ms-outlook;33290
application/x-dosexec;26946
application/rar;22160
application/x-zip-compressed;22021
text/calendar;21089
application/vnd.openxmlformats-officedocument.presentationml.presentation;15747
application/rtf;13702
text/x-php;10417
text/x-c;9602
application/vnd.ms-powerpoint;7120
application/pgp-encrypted;6645
application/gzip;6166
application/x-dbf;5875
image/pjpeg;5259
application/mbox;4906
application/x-msdownload;4750
application/vnd.android.package-archive;4479
image/jpg;4207
text/x-java;4185
text/x-diff;4031
application/cdfv2;3936
text/vcard;3887
audio/x-wav;3791
text/troff;3494
image/x-ms-bmp;3490
application/x-sharedlib;3334
application/x-pkcs7-mime;3193
application/x-7z-compressed;3086
application/pkcs7-mime;2970
application/json;2878
application/vnd.openxmlformats-officedocument.presentationml.slideshow;2877
application/vnd.ms-excel.sheet.macroenabled.12;2682
application/x-rar;2509
text/x-asm;2466
application/x-excel;2448
text/x-shellscript;2348
application/x-msdos-program;2244
text/x-c++;2130
text/x-python;2035
application/vnd.ms-office;1881
message/delivery-status;1697
audio/mpeg;1598
application/postscript;1563
application/x-shockwave-flash;1527
application/vnd.oasis.opendocument.text;1491
application/x-object;1403
image/x-icon;1309
image/svg+xml;1296
application/font-sfnt;1265
application/x-executable;1219
video/mp4;1211
image/x-png;1123
application/x-mach-binary;1053
application/ics;978
application/csv;950
application/x-pkcs12;931
application/x-sqlite3;931
application/x-rar-compressed;919
image/bmp;868
text/x-ruby;853
application/x-ms-wmz;841
text/x-makefile;841
application/x-tar;829
application/vnd.ms-excel.sheet.binary.macroenabled.12;797
video/quicktime;774
application/vnd.ms-office.vbaproject;767
application/vnd.ms-fontobject;752
text/x-pascal;736
image/x-tga;733
application/x-pkcs7-signature;711
application/vnd.oasis.opendocument.spreadsheet;690
application/vnd.ms-cab-compressed;685
text/x-ruby-script;652
text/x-yaml;634
image/vnd.dwg;620
text/x-vcard;598
image/x-icns;584
application-octet/stream;555
application/xml;518
application/x-font-ttf;455
unknown/unknown;452
application/java-archive;445
text/x-msdos-batch;401
application/x-msword;397
application/msexcel;378
application/x-dmp;373
image/pdf;361
text/x-perl;354
video/mpeg;349
application/pgp-keys;323
application/force-download;320
application/x-msaccess;313
application/vnd.openxmlformats-officedocument.wordprocessingml.template;294
text/x-objective-c;272
image/x-citrix-jpeg;267
application/vnd.ms-opentype;267
application/x-archive;260
application/x-arc;260
